anomaly_id,date,kpi,layer4_priority_flag,urgency_label,delivery_channel,audience,recipient,alert_subject,message_id,sent_at,delivery_status,delivery_note
ANO-20241129-REV,2024-11-29,total_revenue_usd,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Total Revenue (USD) UP +223.8% — Priority #1 | 2024-11-29,MSG-ESC-0001,2024-11-29 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #1. Sent at 2024-11-29 09:30.
ANO-20251224-ROAS,2025-12-24,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +169.9% — Priority #12 | 2025-12-24,MSG-INV-0003,2025-12-25 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-12-25 at 08:00.
ANO-20240315-REV,2024-03-15,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) DOWN -36.5% — Priority #13 | 2024-03-15,MSG-INV-0004,2024-03-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-03-18 at 08:00.
ANO-20241024-ROAS,2024-10-24,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +114.8% — Priority #14 | 2024-10-24,MSG-INV-0005,2024-10-25 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-10-25 at 08:00.
ANO-20250210-ORD,2025-02-10,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume DOWN -34.3% — Priority #15 | 2025-02-10,MSG-INV-0006,2025-02-11 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-11 at 08:00.
ANO-20240227-ROAS,2024-02-27,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +96.9% — Priority #16 | 2024-02-27,MSG-INV-0007,2024-02-28 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-02-28 at 08:00.
ANO-20250609-ROAS,2025-06-09,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +87.2% — Priority #17 | 2025-06-09,MSG-INV-0008,2025-06-10 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-06-10 at 08:00.
ANO-20250924-ROAS,2025-09-24,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +92.6% — Priority #18 | 2025-09-24,MSG-ESC-0010,2025-09-24 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #18. Sent at 2025-09-24 09:30.
ANO-20240618-REV,2024-06-18,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) UP +16.8% — Priority #19 | 2024-06-18,MSG-INV-0009,2024-06-19 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-19 at 08:00.
ANO-20251128-ROAS,2025-11-28,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -58.8% — Priority #20 | 2025-11-28,MSG-INV-0010,2025-12-01 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-12-01 at 08:00.
ANO-20240618-CVR,2024-06-18,conversion_rate,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Conversion Rate UP +16.0% — Priority #21 | 2024-06-18,MSG-INV-0011,2024-06-19 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-19 at 08:00.
ANO-20241129-ROAS,2024-11-29,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +159.7% — Priority #22 | 2024-11-29,MSG-ESC-0011,2024-11-29 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #22. Sent at 2024-11-29 09:30.
ANO-20240417-CVR,2024-04-17,conversion_rate,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Conversion Rate UP +11.3% — Priority #23 | 2024-04-17,MSG-INV-0012,2024-04-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-18 at 08:00.
ANO-20240131-ROAS,2024-01-31,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +165.6% — Priority #24 | 2024-01-31,MSG-ESC-0012,2024-01-31 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #24. Sent at 2024-01-31 09:30.
ANO-20240618-ORD,2024-06-18,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume UP +11.2% — Priority #25 | 2024-06-18,MSG-INV-0013,2024-06-19 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-19 at 08:00.
ANO-20250925-CVR,2025-09-25,conversion_rate,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Conversion Rate UP +10.4% — Priority #26 | 2025-09-25,MSG-INV-0014,2025-09-26 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-09-26 at 08:00.
ANO-20241202-ORD,2024-12-02,n_orders,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Order Volume UP +13.3% — Priority #27 | 2024-12-02,MSG-ESC-0013,2024-12-02 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #27. Sent at 2024-12-02 09:30.
ANO-20240622-REV,2024-06-22,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) UP +6.9% — Priority #28 | 2024-06-22,MSG-INV-0015,2024-06-24 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-24 at 08:00.
ANO-20240417-REV,2024-04-17,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) UP +6.6% — Priority #29 | 2024-04-17,MSG-INV-0016,2024-04-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-18 at 08:00.
ANO-20240417-ORD,2024-04-17,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume UP +6.0% — Priority #30 | 2024-04-17,MSG-INV-0017,2024-04-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-18 at 08:00.
ANO-20250114-ROAS,2025-01-14,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +173.8% — Priority #31 | 2025-01-14,MSG-ESC-0014,2025-01-14 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #31. Sent at 2025-01-14 09:30.
ANO-20240723-REV,2024-07-23,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) UP +4.2% — Priority #32 | 2024-07-23,MSG-INV-0018,2024-07-24 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-07-24 at 08:00.
ANO-20251201-REV,2025-12-01,total_revenue_usd,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Total Revenue (USD) UP +52.3% — Priority #33 | 2025-12-01,MSG-INV-0019,2025-12-02 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-12-02 at 08:00.
ANO-20240809-ROAS,2024-08-09,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +265.1% — Priority #34 | 2024-08-09,MSG-INV-0020,2024-08-12 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-08-12 at 08:00.
ANO-20250121-ROAS,2025-01-21,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +263.1% — Priority #35 | 2025-01-21,MSG-INV-0021,2025-01-22 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-01-22 at 08:00.
ANO-20240130-ROAS,2024-01-30,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +259.1% — Priority #36 | 2024-01-30,MSG-INV-0022,2024-01-31 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-01-31 at 08:00.
ANO-20250920-ROAS,2025-09-20,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +229.6% — Priority #37 | 2025-09-20,MSG-INV-0023,2025-09-22 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-09-22 at 08:00.
ANO-20240903-CVR,2024-09-03,conversion_rate,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Conversion Rate UP +65.8% — Priority #38 | 2024-09-03,MSG-INV-0024,2024-09-04 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-09-04 at 08:00.
ANO-20240412-ROAS,2024-04-12,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +195.6% — Priority #39 | 2024-04-12,MSG-INV-0025,2024-04-15 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-15 at 08:00.
ANO-20251108-ROAS,2025-11-08,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +192.1% — Priority #40 | 2025-11-08,MSG-INV-0026,2025-11-10 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-11-10 at 08:00.
ANO-20240708-ROAS,2024-07-08,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +184.1% — Priority #41 | 2024-07-08,MSG-INV-0027,2024-07-09 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-07-09 at 08:00.
ANO-20240311-ROAS,2024-03-11,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +161.9% — Priority #42 | 2024-03-11,MSG-INV-0028,2024-03-12 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-03-12 at 08:00.
ANO-20240601-ROAS,2024-06-01,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +148.2% — Priority #43 | 2024-06-01,MSG-INV-0029,2024-06-03 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-03 at 08:00.
ANO-20240612-ROAS,2024-06-12,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +143.2% — Priority #44 | 2024-06-12,MSG-INV-0030,2024-06-13 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-13 at 08:00.
ANO-20240624-ROAS,2024-06-24,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +142.0% — Priority #45 | 2024-06-24,MSG-INV-0031,2024-06-25 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-25 at 08:00.
ANO-20250127-ROAS,2025-01-27,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -7.3% — Priority #46 | 2025-01-27,MSG-INV-0032,2025-01-28 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-01-28 at 08:00.
ANO-20240526-ROAS,2024-05-26,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +131.3% — Priority #47 | 2024-05-26,MSG-INV-0033,2024-05-27 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-05-27 at 08:00.
ANO-20250830-ROAS,2025-08-30,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +131.2% — Priority #48 | 2025-08-30,MSG-INV-0034,2025-09-01 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-09-01 at 08:00.
ANO-20250226-ROAS,2025-02-26,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +121.1% — Priority #49 | 2025-02-26,MSG-INV-0035,2025-02-27 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-27 at 08:00.
ANO-20250925-ROAS,2025-09-25,avg_roas,ESCALATE,Immediate,Slack + Email,"Executive, Operations",exec-team-dl@company.com; ops-team-dl@company.com,[ESCALATE] Avg. ROAS UP +60.0% — Priority #50 | 2025-09-25,MSG-ESC-0015,2025-09-25 09:30:00,SENT,Sent to Slack #kpi-alerts and exec-team-dl@company.com. Priority #50. Sent at 2025-09-25 09:30.
ANO-20250217-ROAS,2025-02-17,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +117.7% — Priority #51 | 2025-02-17,MSG-INV-0036,2025-02-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-18 at 08:00.
ANO-20250819-ROAS,2025-08-19,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +113.8% — Priority #52 | 2025-08-19,MSG-INV-0037,2025-08-20 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-08-20 at 08:00.
ANO-20240315-ORD,2024-03-15,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume DOWN -35.7% — Priority #53 | 2024-03-15,MSG-INV-0038,2024-03-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-03-18 at 08:00.
ANO-20240429-ROAS,2024-04-29,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +111.7% — Priority #54 | 2024-04-29,MSG-INV-0039,2024-04-30 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-04-30 at 08:00.
ANO-20250131-ROAS,2025-01-31,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +105.9% — Priority #55 | 2025-01-31,MSG-INV-0040,2025-02-03 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-03 at 08:00.
ANO-20240711-ROAS,2024-07-11,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +96.6% — Priority #56 | 2024-07-11,MSG-INV-0041,2024-07-12 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-07-12 at 08:00.
ANO-20240814-ROAS,2024-08-14,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +90.6% — Priority #57 | 2024-08-14,MSG-INV-0042,2024-08-15 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-08-15 at 08:00.
ANO-20250707-ROAS,2025-07-07,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +90.1% — Priority #58 | 2025-07-07,MSG-INV-0043,2025-07-08 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-07-08 at 08:00.
ANO-20240723-ROAS,2024-07-23,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -88.4% — Priority #59 | 2024-07-23,MSG-INV-0044,2024-07-24 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-07-24 at 08:00.
ANO-20240817-ROAS,2024-08-17,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +86.1% — Priority #60 | 2024-08-17,MSG-INV-0045,2024-08-19 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-08-19 at 08:00.
ANO-20250505-ROAS,2025-05-05,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +77.3% — Priority #61 | 2025-05-05,MSG-INV-0046,2025-05-06 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-05-06 at 08:00.
ANO-20250710-ROAS,2025-07-10,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +74.6% — Priority #62 | 2025-07-10,MSG-INV-0047,2025-07-11 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-07-11 at 08:00.
ANO-20240621-ROAS,2024-06-21,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -74.1% — Priority #63 | 2024-06-21,MSG-INV-0048,2024-06-24 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-24 at 08:00.
ANO-20251226-ROAS,2025-12-26,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +73.5% — Priority #64 | 2025-12-26,MSG-INV-0049,2025-12-29 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-12-29 at 08:00.
ANO-20250220-ROAS,2025-02-20,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +72.6% — Priority #65 | 2025-02-20,MSG-INV-0050,2025-02-21 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-02-21 at 08:00.
ANO-20240626-ROAS,2024-06-26,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -67.8% — Priority #66 | 2024-06-26,MSG-INV-0051,2024-06-27 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-27 at 08:00.
ANO-20250917-ROAS,2025-09-17,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -61.1% — Priority #67 | 2025-09-17,MSG-INV-0052,2025-09-18 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-09-18 at 08:00.
ANO-20251201-ORD,2025-12-01,n_orders,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Order Volume UP +17.1% — Priority #68 | 2025-12-01,MSG-INV-0053,2025-12-02 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-12-02 at 08:00.
ANO-20240710-ROAS,2024-07-10,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -59.4% — Priority #69 | 2024-07-10,MSG-INV-0054,2024-07-11 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-07-11 at 08:00.
ANO-20250129-ROAS,2025-01-29,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +56.7% — Priority #70 | 2025-01-29,MSG-INV-0055,2025-01-30 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2025-01-30 at 08:00.
ANO-20240620-CVR,2024-06-20,conversion_rate,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Conversion Rate UP +14.0% — Priority #71 | 2024-06-20,MSG-INV-0056,2024-06-21 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-21 at 08:00.
ANO-20240820-ROAS,2024-08-20,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS DOWN -53.1% — Priority #72 | 2024-08-20,MSG-INV-0057,2024-08-21 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-08-21 at 08:00.
ANO-20240620-ROAS,2024-06-20,avg_roas,INVESTIGATE,Daily,Email,"Operations, Analyst",ops-team-dl@company.com; analytics-team-dl@company.com,[INVESTIGATE] Avg. ROAS UP +52.9% — Priority #73 | 2024-06-20,MSG-INV-0058,2024-06-21 08:00:00,QUEUED,Queued for daily digest email to ops-team-dl@company.com on 2024-06-21 at 08:00.
